row,Product Id,"国家
Country",shop,product_name,image_url,"首图
First Image Show","最爆视频链接参考
Video link","一级行业
Primary Industry","一级类目
Level 1 Category","二级类目
Level 2 Category","三级类目
Level 3 Category","商品原价
Listed Price","秒杀指导价
Flash Sale Price","折扣率
Discount Rate",price,"颜色
Colors","尺码
Sizes",link,"供应商名称
Supplier Name",Number Requested,Number Ordered
S230607004543,1729661380452580000,SA,LIFEBEE,???? ???? ????? ???? ?????? ????? ???? 1.83 ????? ????? ???? ????? ?? ????? ??????? 100+ ????? ?????? ???????? ???? DIY ???? ????? ??????? ???? ???? ?????? ??????? ?????? ???????? ????? ?????? ??? ???????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0803b2c762f2448c889950b8dce0d63f~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,"https://www.tiktok.com/@/video/7262989542184062214
https://www.tiktok.com/@/video/7263416362419195137
https://www.tiktok.com/@/video/7278664518979390727",大标品,"手机和电子产品
Phones & Electronics","智能及穿戴设备
Smart & Wearable Devices","智能手表 & 手环
Smart Watches",?.?139 - ?.?165,,,?.?51.43-?.?61.05,"???? ?????,???? ??? ?????,???? ????,???? ?????,???? ????? ???????,???? ??????,???? ?????,???? ???????? ???????,???? ???,???? ???????? ?????,???? ?????,???? ???? + ???? ????/???,???? ????? + ???? ????/????,???? ????? + ???? ???? ???? / ???????,???? ????? ?? ???? ??????? / ????,???? ????? ???? + ???? ???? / ???,???? ????? ?? ???? ???? ???? / ????,???? ??? + ???? ????/???? ?????",???? ????,https://shop.tiktok.com/view/product/1729661380452584373?region=SA&source=seller_center,香港尤涅若電子商務有限公司,2,0
S230621004488,1.72966E+18,SA,Allcolours,???? ????? ???? ?????? ??????? 3 ???/??? ???? ????? ???? ???????? ????? ????? 14 ??? ????? ????????? ?????? ????? ????? XR 15? ???? ??? ????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/4e03ffc840464280b886c814cc8fc37e~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,"https://www.tiktok.com/@/video/7335017239021767944
https://www.tiktok.com/@/video/7348148098641726722
https://www.tiktok.com/@/video/7351743016018693392",大标品,"手机和电子产品
Phones & Electronics","手机配件
Mobile Phone Accessories","保护壳、屏幕保护膜、皮肤
Cases, Screen Protectors & Stickers",?.?30 - ?.?95,,,?.?10.2-?.?32.3,3 ??? / ??? - ????,"iPhone 15,iPhone 15 Pro,iPhone 15 Plus,iPhone 15 Pro Max,Iphone 14 plus,Iphone 13pro,Iphone 12 pro max,Iphone 11 pro max,Iphone XR,Iphone XS,Iphone x,Iphone 14 pro,Iphone 14,Iphone 13pro max,Iphone 12,Iphone 11 pro,Iphone 14 pro max,Iphone 13,Iphone 12 pro,Iphone 11,Iphone XS max,iPhone16ProMax,iPhone16Plus,iPhone16Pro,iPhone16,????? ?? iPhone 15 Pro Max,??? iPhone 15 Pro Max*1 + ??? iPhone 13Pro Max*1,????? ?? iPhone 13Pro Max,????? ?? iPhone 14 Pro Max,??????? iPhone 11 * 2,??? iPhone 11 * 1 + ??? iPhone 12 * 1,??? iPhone 11*1 + ??? iPhone 13*1",https://shop.tiktok.com/view/product/1729661410653997315?region=SA&source=seller_center,广州叁原文化传播有限公司,0,0
S230817007681,1.72972E+18,SA,RenYANGOOD,???? ??? ????? ??????? ????? ???? ???? ??????? ???????????? ????????? ??????? ????????? ??????? ??????? ?? ???? ??????? ??????? ???? ???? ????? ???? ???????? ???? ???????? ???? ??,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/06363a0063f84170bbcc706ae65ad04f~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,"https://www.tiktok.com/@/video/7656078189680184596
https://www.tiktok.com/@/video/7574455699435031829
https://www.tiktok.com/@/video/7679771204848323848",大标品,"手机和电子产品
Phones & Electronics","手机配件
Mobile Phone Accessories","手机支架
Phone Holders & Mounts",?.?125,,,?.?25,Signal black,???? ?????,https://shop.tiktok.com/view/product/1729715250371070030?region=SA&source=seller_center,宁波仁研电子商务有限公司,0,0
S231009001537,1.72976E+18,SA,Mamen Photographic Equipment Co,????? ????? ?? ???? ???? ????? ?????? 60 LED ???? ?????? 2000mAh ???? ?????? ????? CRI 95+? 3 ????? ?????? ????? ????? ????? ????????? ??????/????????? ???????? ??? ??? ???? ????????? ???????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/e8a07d6a4655455ea380b8ab590abc9c~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,"https://www.tiktok.com/@/video/7663148065913621778
https://www.tiktok.com/@/video/7678008842461973768
https://www.tiktok.com/@/video/7665474747471269141",大标品,"手机和电子产品
Phones & Electronics","摄影摄像
Cameras & Photography","摄影配件
Camera Accessories",?.?105 - ?.?109,,,?.?37.8-?.?39.24,"????? ????,??? ???? ????,??????? ????,????","???? ???? ????? ? ???? ???? ? ???????? ??????,???? RGB",https://shop.tiktok.com/view/product/1729759172387834620?region=SA&source=seller_center,闪录互动有限公司,1,0
S231115001004,1.72983E+18,SA,Auto parts dealers,??? ????? ????? ??????? ??????? ????? ?????????? 1 ?????? ?? ???? ???? ??????? ???????? ???? ????? ?????? ?? ????? ?????? ????? ????? ?????? ??????? ??????? ????????,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/487bf7ba33204ec7ad8595f4e3743f9c~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,https://www.tiktok.com/@/video/7600504825796709653,大标品,"汽车和摩托车相关
Automotive & Motorcycle","汽车修理工具
Car Repair Tools","汽车车身修理工具
Car Body Repair Tools",?.?175 - ?.?195,,,?.?71.75-?.?79.95,"?????,???? &???????,Deep red",?????? 1,https://shop.tiktok.com/view/product/1729831928763353727?region=SA&source=seller_center,长沙市青蜂熊科技有限公司,0,0
S231202002748,1.72988E+18,SA,Chucky digital,?????? ????? ???????? ???? ???? ?????? ? ?? ????? ???? ???? ???? ????? ????????? ? ????????? ???? ???????? ???? ???? ????? 9/8/7 / 6/5/4 / ?? / SE2 / ????? / ?????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/07bb3dfe705a42c493c166834a720a54~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,https://www.tiktok.com/@/video/7648769351683722517,大标品,"手机和电子产品
Phones & Electronics","智能及穿戴设备
Smart & Wearable Devices","可穿戴设备配件
Wearable Accessories",?.?34 - ?.?75,,,?.?10.2-?.?22.5,"Black,???? ???,???? ??????","40 ??,41 ??,44 ??,45 ??,49 ??,????? 42 ?? - ??? 10,????? 46 ?? - ??? 10",https://shop.tiktok.com/view/product/1729882090557376960?region=SA&source=seller_center,东莞市恰奇贸易有限公司,0,0
S240119002535,1.72999E+18,SA,Mamen Photographic Equipment Co,??????? ??????? ??? ???????? ?????? ?????? ??? ???? ????? ? 1 ?????? ???? ?????? ???? ?? ????? ???? ??????? ???? ? ??? ????? ? ?????? ?????? ?????? ????? ??????? ?? ?????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/a7c1860624ab45ce8fc80df540008766~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my2&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,"https://www.tiktok.com/@/video/7685450923665067272
https://www.tiktok.com/@/video/7684107448633937173
https://www.tiktok.com/@/video/7656980462773996808",大标品,"手机和电子产品
Phones & Electronics","手机配件
Mobile Phone Accessories","手机支架
Phone Holders & Mounts",?.?225,,,?.?74.25,????,???? ????,https://shop.tiktok.com/view/product/1729987367890881276?region=SA&source=seller_center,闪录互动有限公司,1,0
S240227003604,1.73004E+18,SA,RenYANGOOD,??? ???? ??????? ??????? ?? ???? ??????? ???? ????? ??????? ?????/????/????? ????? ????????? ?????? ???????,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/f16ef3955c55491b9b3600fe231ff974~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,https://www.tiktok.com/@/video/7413626885034364178,大标品,"手机和电子产品
Phones & Electronics","手机配件
Mobile Phone Accessories","手机支架
Phone Holders & Mounts",?.?125,,,?.?31.25,Black,6pcs/set,https://shop.tiktok.com/view/product/1730037186508392526?region=SA&source=seller_center,宁波仁研电子商务有限公司,1,0
S231226005641,1.73015E+18,SA,Car charm,???? ????? ???? ?????? ?????? ??? ?????????? ???? ????? ?? ??????? ?????? ??????? ???????? ?????? ??????? ??????? ??????? ??????? ????? ???????? ????????? ?????? ??????? ?????? ???????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/fb11b98f5fc447cf9208457d80518ca6~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,"https://www.tiktok.com/@/video/7667580745136852242
https://www.tiktok.com/@/video/7670528377526177042
https://www.tiktok.com/@/video/7661552939474947348",大标品,"汽车和摩托车相关
Automotive & Motorcycle","外部配件
Car Exterior Accessories","遮阳篷
Sunshades",?.?169,,,?.?125.06,????,???? ?????,https://shop.tiktok.com/view/product/1730152331855760261?region=SA&source=seller_center,义乌市玳时电子商务商行（个体工商户）,0,0
S240315007256,1.73017E+18,SA,ZOERAP,?????? ??? ??????? ?????? ???? ????? ? ?????? ??? Bluetooth-compatible ?????? ??????? ????? ??? ????? ??????? ? ?????? ??? ???? ?? ??????? ???? ???????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/789598cfa8cd446e87bdad3409b0068a~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,https://www.tiktok.com/@/video/7392118995073125640,大标品,"手机和电子产品
Phones & Electronics","影音设备
Audio & Video","耳机
Headphones, Earphones & Accessories",?.?75 - ?.?119,,,?.?24.75-?.?39.27,????,"with charge box,no charging box",https://shop.tiktok.com/view/product/1730172736737085962?region=SA&source=seller_center,香港赤朗科技集團有限公司,0,0
